[2026-04-14 22:49:15 -0300] [26527] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:49:20 -0300] [26550] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:49:20 -0300] [26550] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:20 -0300] [26550] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:21 -0300] [26550] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:21 -0300] [26550] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:22 -0300] [26550] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:22 -0300] [26550] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:23 -0300] [26550] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:23 -0300] [26550] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:24 -0300] [26550] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:24 -0300] [26550] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:25 -0300] [26550] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:49:30 -0300] [26568] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:49:30 -0300] [26568] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:30 -0300] [26568] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:31 -0300] [26568] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:31 -0300] [26568] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:32 -0300] [26568] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:32 -0300] [26568] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:33 -0300] [26568] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:33 -0300] [26568] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:34 -0300] [26568] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:34 -0300] [26568] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:35 -0300] [26568] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:49:40 -0300] [26826] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:49:40 -0300] [26826] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:40 -0300] [26826] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:42 -0300] [26826] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:42 -0300] [26826] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:43 -0300] [26826] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:43 -0300] [26826] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:44 -0300] [26826] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:44 -0300] [26826] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:45 -0300] [26826] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:45 -0300] [26826] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:46 -0300] [26826] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:49:51 -0300] [26851] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:49:51 -0300] [26851] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:51 -0300] [26851] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:52 -0300] [26851] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:52 -0300] [26851] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:53 -0300] [26851] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:53 -0300] [26851] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:54 -0300] [26851] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:54 -0300] [26851] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:55 -0300] [26851] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:49:55 -0300] [26851] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:49:56 -0300] [26851] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:50:01 -0300] [26873] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:50:01 -0300] [26873] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:01 -0300] [26873] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:02 -0300] [26873] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:02 -0300] [26873] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:03 -0300] [26873] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:03 -0300] [26873] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:04 -0300] [26873] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:04 -0300] [26873] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:05 -0300] [26873] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:05 -0300] [26873] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:06 -0300] [26873] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:50:12 -0300] [27384] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:50:12 -0300] [27384] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:12 -0300] [27384] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:13 -0300] [27384] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:13 -0300] [27384] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:14 -0300] [27384] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:14 -0300] [27384] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:15 -0300] [27384] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:15 -0300] [27384] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:16 -0300] [27384] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:16 -0300] [27384] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:17 -0300] [27384] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:50:22 -0300] [27400] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:50:22 -0300] [27400] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:22 -0300] [27400] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:23 -0300] [27400] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:23 -0300] [27400] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:24 -0300] [27400] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:24 -0300] [27400] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:25 -0300] [27400] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:25 -0300] [27400] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:26 -0300] [27400] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:26 -0300] [27400] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:27 -0300] [27400] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:50:32 -0300] [27407] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:50:32 -0300] [27407] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:32 -0300] [27407] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:34 -0300] [27407] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:34 -0300] [27407] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:35 -0300] [27407] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:35 -0300] [27407] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:36 -0300] [27407] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:36 -0300] [27407] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:37 -0300] [27407] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:37 -0300] [27407] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:38 -0300] [27407] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:50:43 -0300] [27416] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:50:43 -0300] [27416] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:43 -0300] [27416] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:44 -0300] [27416] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:44 -0300] [27416] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:45 -0300] [27416] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:45 -0300] [27416] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:46 -0300] [27416] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:46 -0300] [27416] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:47 -0300] [27416] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:47 -0300] [27416] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:48 -0300] [27416] [ERROR] Can't connect to ('127.0.0.1', 5001)
[2026-04-14 22:50:53 -0300] [27434] [INFO] Starting gunicorn 25.3.0
[2026-04-14 22:50:53 -0300] [27434] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:53 -0300] [27434] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:54 -0300] [27434] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:54 -0300] [27434] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:55 -0300] [27434] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:55 -0300] [27434] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:56 -0300] [27434] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:56 -0300] [27434] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
[2026-04-14 22:50:58 -0300] [27434] [ERROR] Connection in use: ('127.0.0.1', 5001)
[2026-04-14 22:50:58 -0300] [27434] [ERROR] connection to ('127.0.0.1', 5001) failed: [Errno 48] Address already in use
